epoch,train_loss,val_acc,sensitivity,specificity,f1_score,auc
1,0.360899439,0.559289176,0.531083481,0.842857143,0.686724851,0.7769424
2,0.296988261,0.785783522,0.79928952,0.65,0.871586287,0.832821619
3,0.265987817,0.813247173,0.827708703,0.667857143,0.889652539,0.86078914
4,0.248462445,0.816801292,0.823801066,0.746428571,0.891066282,0.882192337
5,0.244748215,0.846849758,0.861101243,0.703571429,0.910935738,0.890327328
6,0.22109955,0.832310178,0.840852575,0.746428571,0.901199315,0.894969551
7,0.213334042,0.826171244,0.830195382,0.785714286,0.896776669,0.890507485
8,0.206047423,0.823909532,0.825577265,0.807142857,0.89505103,0.907000761
9,0.201729991,0.864297254,0.878152753,0.725,0.921700224,0.901700076
10,0.191095302,0.84911147,0.855772647,0.782142857,0.911636708,0.906168485
11,0.182524295,0.866235864,0.876376554,0.764285714,0.922587883,0.910050749
12,0.176845726,0.893699515,0.907637655,0.753571429,0.93951094,0.916712763
13,0.178367036,0.902100162,0.923268206,0.689285714,0.944919106,0.913705912
14,0.171473928,0.894022617,0.910124334,0.732142857,0.939838591,0.91235727
15,0.170028498,0.909854604,0.935701599,0.65,0.949702542,0.921471708
16,0.169578868,0.892084006,0.904440497,0.767857143,0.938444526,0.92060137
17,0.163633645,0.872051696,0.879573712,0.796428571,0.925953628,0.924009135
18,0.16251482,0.913731826,0.943516874,0.614285714,0.952141961,0.91572951
19,0.153739185,0.915024233,0.937122558,0.692857143,0.952518505,0.925891906
20,0.148757779,0.902423263,0.920426288,0.721428571,0.944930708,0.921726719
21,0.149340794,0.906300485,0.922202487,0.746428571,0.947099599,0.92663664
22,0.143469081,0.899515347,0.91687389,0.725,0.943175589,0.923099467
23,0.148889434,0.848465267,0.849023091,0.842857143,0.910649648,0.922707435
24,0.14406071,0.927625202,0.957015986,0.632142857,0.960085531,0.9265085
25,0.14342291,0.925686591,0.958792185,0.592857143,0.959132907,0.925701599
26,0.136653942,0.913731826,0.9339254,0.710714286,0.951674208,0.924841411
27,0.13222749,0.911793215,0.931438721,0.714285714,0.950516585,0.928145141
28,0.131545502,0.918578352,0.938543517,0.717857143,0.954479769,0.931310581
29,0.130400999,0.909208401,0.927886323,0.721428571,0.948955495,0.928977417
30,0.132814453,0.915993538,0.937122558,0.703571429,0.953034682,0.927609744
31,0.139240397,0.909208401,0.928241563,0.717857143,0.948974033,0.928534636
32,0.128314664,0.919870759,0.941740675,0.7,0.955315315,0.932087034
33,0.127804073,0.914378029,0.927175844,0.785714286,0.951686418,0.936612535
34,0.1219033,0.9273021,0.950976909,0.689285714,0.959670192,0.934955595
35,0.130452665,0.926009693,0.947779751,0.707142857,0.958849955,0.936691195
36,0.126941189,0.918901454,0.937477798,0.732142857,0.954603002,0.932069272
37,0.117713432,0.923747981,0.946358792,0.696428571,0.957584472,0.935833545
38,0.115189353,0.932148627,0.958792185,0.664285714,0.962553495,0.939207054
39,0.116136944,0.928917609,0.955239787,0.664285714,0.96070025,0.938604415
40,0.115302891,0.934733441,0.969804618,0.582142857,0.964323561,0.935405988
41,0.123987191,0.933117932,0.957726465,0.685714286,0.963029112,0.938827709
42,0.116588646,0.934733441,0.975488455,0.525,0.96452406,0.938842933
43,0.121606326,0.9273021,0.954884547,0.65,0.959828602,0.93601624
44,0.118205935,0.924394184,0.948490231,0.682142857,0.958019376,0.934681553
45,0.117814534,0.936672052,0.98330373,0.467857143,0.965806001,0.934075108
46,0.116469015,0.928271405,0.955950266,0.65,0.960385439,0.938765542
47,0.111282261,0.93634895,0.971580817,0.582142857,0.965237339,0.93872748
48,0.110371423,0.932148627,0.963055062,0.621428571,0.962713068,0.934649835
49,0.107176542,0.939256866,0.96731794,0.657142857,0.966631168,0.941621416
50,0.098936248,0.939579968,0.977264654,0.560714286,0.967129548,0.940284192
51,0.101430758,0.934733441,0.96731794,0.607142857,0.964235127,0.943927937
52,0.097845571,0.938287561,0.98365897,0.482142857,0.966660848,0.941002284
53,0.118016968,0.934733441,0.968383659,0.596428571,0.964273081,0.938261862
54,0.113962058,0.930210016,0.959502664,0.635714286,0.961552154,0.937786095
55,0.10081936,0.93085622,0.962699822,0.610714286,0.962016329,0.943282162
56,0.098950421,0.922455574,0.944227353,0.703571429,0.956803456,0.936492007
57,0.112294021,0.926332795,0.951332149,0.675,0.959169054,0.937885055
58,0.097933545,0.928271405,0.952042629,0.689285714,0.960229308,0.941502157
59,0.098138817,0.932471729,0.962699822,0.628571429,0.962870847,0.941708957
60,0.101581322,0.938287561,0.972646536,0.592857143,0.9662961,0.943880995
61,0.099239307,0.937964459,0.9669627,0.646428571,0.965933286,0.947749302
62,0.100616743,0.937641357,0.978685613,0.525,0.966158162,0.944930221
63,0.093984748,0.932471729,0.960568384,0.65,0.962791526,0.944207054
64,0.098864479,0.941195477,0.971580817,0.635714286,0.967799009,0.944927683
65,0.10171362,0.939256866,0.970870337,0.621428571,0.966749204,0.944020553
66,0.099367638,0.929886914,0.950976909,0.717857143,0.961048286,0.948240294
67,0.092251733,0.934410339,0.96731794,0.603571429,0.964064436,0.94508881
68,0.091294057,0.939579968,0.980106572,0.532142857,0.967221735,0.948261862
69,0.096536116,0.943457189,0.977975133,0.596428571,0.969195564,0.947085765
70,0.097880765,0.939903069,0.98259325,0.510714286,0.967471144,0.941186247
71,0.08849085,0.933117932,0.958792185,0.675,0.963068689,0.949472215
72,0.087995313,0.935379645,0.965186501,0.635714286,0.964501242,0.948285968
73,0.091254574,0.938287561,0.971225577,0.607142857,0.966248454,0.949205151
74,0.084370148,0.936995153,0.963765542,0.667857143,0.965308664,0.950383151
75,0.091389518,0.940872375,0.977264654,0.575,0.967810026,0.951221771
